date,minimum,maximum,range,mean,std
2025-08-18,24.1742515564,26.8777503967,2.70349884033,25.5253222772,0.426569516798
2025-08-19,23.4779853821,26.0696716309,2.59168624878,24.739676421,0.399931654322
2025-08-20,23.3793029785,26.089389801,2.71008682251,24.6813962562,0.405923540776
2025-08-21,23.4198741913,26.4176959991,2.99782180786,24.8121519259,0.458201924075
2025-08-22,26.5487308502,31.0455417633,4.49681091309,29.3130065918,0.768135414904
2025-08-23,25.2805042267,28.5955276489,3.31502342224,26.5844759328,0.536113525666
2025-08-24,24.5035381317,27.084821701,2.58128356934,25.2400110245,0.424222747378
2025-08-25,24.6450386047,27.7268314362,3.08179283142,25.5354060956,0.501433446761
2025-08-26,22.8034133911,26.4680042267,3.66459083557,24.5746694258,0.570519863033
2025-08-27,22.1212520599,24.0303020477,1.90904998779,23.078372785,0.282762566787
2025-08-28,22.4070529938,24.3729114532,1.96585845947,23.4371075187,0.303348042435
2025-08-29,24.8916053772,26.3351173401,1.44351196289,25.2535336665,0.241725938019
2025-08-30,24.9494247437,26.2429046631,1.29347991943,25.4279058184,0.196216959494
2025-08-31,23.7509555817,24.578289032,0.827333450317,23.9749322414,0.129185495668
2025-09-01,23.0426387787,24.2130527496,1.17041397095,23.4029546091,0.1846609249
2025-09-02,25.7187747955,26.5690498352,0.850275039673,25.9524047,0.141600870224
2025-09-03,26.5000324249,27.6868686676,1.18683624268,26.7701552936,0.242776366197
2025-09-04,23.3012809753,25.6322898865,2.33100891113,24.6519491434,0.377466886523
2025-09-05,23.880033493,27.7572154999,3.87718200684,25.8809273141,0.606585048092
2025-09-06,25.3908958435,29.1678276062,3.7769317627,27.16881767,0.64801179593
2025-09-07,22.846031189,24.3736953735,1.52766418457,23.4885668107,0.188587992089
2025-09-08,20.9656391144,23.0103282928,2.04468917847,22.1033810445,0.321137549877
2025-09-09,22.3000183105,23.1971645355,0.897146224976,22.5072313854,0.178472271826
2025-09-10,22.2940425873,23.1760425568,0.881999969482,22.7163561889,0.148982019812
2025-09-11,23.4809970856,25.6339454651,2.15294837952,24.8111581734,0.352241360939
2025-09-12,24.0819568634,27.4261856079,3.34422874451,26.3845926251,0.60838896565
2025-09-13,23.2252788544,25.6090202332,2.38374137878,24.5030700411,0.367012689235
2025-09-14,23.6752948761,26.5188789368,2.84358406067,25.0694199051,0.436078935442
2025-09-15,22.5412158966,26.5796852112,4.03846931458,24.9592901366,0.680265944798
2025-09-16,23.887342453,29.1073207855,5.21997833252,26.5481951952,0.815583784295
2025-09-17,22.188621521,27.3908405304,5.2022190094,25.2857665913,0.834036274017
2025-09-18,23.3209266663,29.1383190155,5.81739234924,25.6809853826,0.715047927405
2025-09-19,29.0100669861,32.8998680115,3.88980102539,31.943174461,0.890010516806
2025-09-20,21.7152061462,24.5368461609,2.82164001465,23.7063520806,0.559983186452
2025-09-21,19.7428894043,21.0555438995,1.31265449524,20.7255006586,0.244303545495
2025-09-22,18.834646225,21.2851276398,2.45048141479,20.2931472676,0.382932846298
2025-09-23,23.9819698334,26.4999217987,2.51795196533,26.0217357193,0.531051936417
2025-09-24,27.9561653137,28.9999637604,1.04379844666,28.7454584701,0.231128166828
2025-09-25,25.1770324707,28.9998722076,3.82283973694,28.1706461906,0.832896796672
2025-09-26,23.2390346527,25.9392356873,2.70020103455,24.3556859834,0.429772532828
2025-09-27,22.0234184265,22.9999694824,0.976551055908,22.7419804062,0.225779457389
2025-09-28,20.8185443878,23.4705410004,2.65199661255,22.7326827526,0.506960813742
2025-09-29,23.2572002411,27.2873592377,4.03015899658,26.2634490728,0.789538168804
2025-09-30,25.4387302399,29.2998752594,3.86114501953,28.5074536426,0.831906088205
2025-10-01,25.3442211151,29.1164512634,3.77223014832,27.959193291,0.727211931956
2025-10-02,21.919960022,25.5674152374,3.64745521545,23.7113186904,0.544740480974
2025-10-03,20.1569366455,23.2448329926,3.08789634705,21.5044892958,0.471853974681
2025-10-04,20.8842086792,22.8745670319,1.99035835266,21.9316597019,0.290933117754
2025-10-05,20.9434280396,24.7294654846,3.78603744507,23.1448365109,0.626121611796
2025-10-06,27.366891861,31.4998626709,4.13297080994,30.6267668554,0.884578508191
2025-10-07,20.9000205994,22.8833179474,1.98329734802,21.1648333652,0.343403813038
2025-10-08,20.0000247955,21.2819461823,1.28192138672,20.2769763708,0.250921339873
2025-10-09,20.736869812,23.80519104,3.06832122803,22.144969041,0.45590628538
2025-10-10,28.138551712,29.7999420166,1.66139030457,29.3991365705,0.367715227602
2025-10-11,28.6483421326,29.2105312347,0.562189102173,28.9945437295,0.0584222763731
2025-10-12,28.4752120972,29.5052852631,1.03007316589,28.8524775096,0.124078318114
2025-10-13,24.7133674622,28.4096221924,3.69625473022,27.4206119095,0.723185644763
2025-10-15,22.1462955475,28.1922264099,6.04593086243,26.7105447633,1.30124610005
2025-10-16,21.6205787659,26.4547042847,4.8341255188,24.1865760905,0.771799388212
2025-10-17,24.5119724274,28.7998600006,4.28788757324,27.8856820822,0.951146231857
2025-10-18,26.7105350494,29.5999145508,2.88937950134,28.9378590311,0.686199441149
2025-10-19,23.1583271027,24.6452388763,1.48691177368,24.0329935823,0.27082489933
2025-10-20,22.1088924408,23.4246826172,1.31579017639,22.8805399827,0.252200506357
2025-10-21,21.4783248901,22.6999568939,1.22163200378,22.3829522371,0.286079318802
2025-10-22,21.8089580536,23.1999511719,1.39099311829,22.84160285,0.331212213207
2025-10-24,20.8140220642,22.6276607513,1.81363868713,21.7395715169,0.305753604266
2025-10-25,19.145116806,21.6112041473,2.46608734131,19.8976619482,0.320721365332
2025-10-26,20.6487941742,22.8294811249,2.18068695068,22.1868173633,0.405904349914
2025-10-27,24.4784450531,25.5158996582,1.0374546051,25.0236804383,0.110572315541
2025-10-28,18.9592247009,19.681224823,0.72200012207,19.3103654419,0.0730477542154
2025-10-29,20.9000301361,22.2188510895,1.31882095337,21.1529508216,0.248122877083
2025-10-30,19.9485588074,20.5987052917,0.650146484375,20.4478574617,0.0695428903761
2025-10-31,20.1397647858,21.3999557495,1.26019096375,21.0032187632,0.314047731026
2025-11-01,18.9889831543,19.8782672882,0.889284133911,19.42310884,0.0833535262086
2025-11-02,19.0875930786,19.8008899689,0.713296890259,19.5879787002,0.122966650486
2025-11-03,20.9404945374,21.4511947632,0.51070022583,21.101567718,0.0595493873712
